time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1964-05-24T00:00:49.390Z,30.069,82.174,15,5.32,mw,,,,,iscgem,iscgem867982,2022-04-27T00:07:42.445Z,"88 km N of Jumla, Nepal",earthquake,,10.5,0.24,,reviewed,iscgem,iscgem
1964-08-30T02:35:07.110Z,27.386,88.304,10,5.35,mw,,,,,iscgem,iscgem865558,2022-04-27T00:00:16.501Z,"11 km NNE of Gyalshing, India",earthquake,,6.7,0.2,,reviewed,iscgem,iscgem
1964-09-26T00:46:01.270Z,29.829,80.474,25,5.9,mw,,,,,iscgem,iscgem864679,2022-04-26T23:58:37.256Z,"4 km WSW of Dh?rchula, India",earthquake,,11.9,0.2,,reviewed,iscgem,iscgem
1964-10-06T20:19:33.920Z,29.287,80.909,15,5.4,mw,,,,,iscgem,iscgem863319,2022-04-26T23:55:13.727Z,"4 km NW of Dipayal, Nepal",earthquake,,13.2,0.22,,reviewed,iscgem,iscgem
1965-01-12T13:32:25.380Z,27.357,87.867,20,5.9,mw,,,,,iscgem,iscgem861007,2022-04-26T23:49:07.189Z,Nepal,earthquake,,13.2,0.2,,reviewed,iscgem,iscgem
1965-01-12T13:55:19.660Z,27.407,87.735,15,5.45,mw,,,,,iscgem,iscgem861009,2022-04-26T23:49:18.476Z,"52 km E of Kh??db?ri??, Nepal",earthquake,,6.9,0.2,,reviewed,iscgem,iscgem
1965-03-18T02:41:27.160Z,29.732,80.365,15,5.4,mw,,,,,iscgem,iscgem858684,2022-04-26T23:43:09.224Z,"19 km SW of Dh?rchula, India",earthquake,,7.6,0.2,,reviewed,iscgem,iscgem
1965-05-13T10:51:15.560Z,29.8,80.271,15,5.21,mw,,,,,iscgem,iscgem856834,2022-04-26T23:39:48.154Z,"24 km WSW of Dh?rchula, India",earthquake,,11.9,0.2,,reviewed,iscgem,iscgem
1965-06-01T07:52:25.440Z,28.486,83.041,15,5.45,mw,,,,,iscgem,iscgem855767,2022-04-26T23:37:32.064Z,"58 km WNW of B?glung, Nepal",earthquake,,25,0.26,,reviewed,iscgem,iscgem
1966-06-27T10:41:09.050Z,29.504,80.845,25.9,6,mw,,,,,iscgem,iscgem846868,2022-04-26T23:16:32.649Z,"28 km NNW of Dipayal, Nepal",earthquake,,3.9,0.2,,reviewed,iscgem,iscgem
